group,subgroup,hook_name,start_ea,size_bytes,hook_kind,why_it_is_fun,stability_risk,priority_order,first_safe_payload,notes
Alchemy,Item Creation,AlchemyMenu_CreatePotion?:::OBSE_CreatePotion_HkAddr?,0x594CFA,510,Function Detour,Inject custom potion metadata/rarity/roll logic right at creation,Low,1,"Log ingredient FormIDs + output potion FormID, then return original path",Connects to TESDataHandler_AddForm + SaveLoad_AddCreatedObj for persistence
Alchemy,Pre-Create Calculation,AlchemyMenu_CalcPotion?,0x593CD0,4036,Function Detour,Change potency/duration formulas before craft finalization,Medium,2,Log computed potency and duration per effect index,Pairs naturally with CreatePotion hook for A/B comparisons
UI/Debug,Debug Overlay,InterfaceMgr_ShowDebugText,0x407AE0,17934,Function Detour,Fastest way to expose runtime diagnostics in-game,High,3,Append one static plugin line with build + frame counter,Great telemetry sink for all later hooks
Input,Raw Device Polling,InputGlobals::PollAndUpdateInputState,0x4046A0,418,Function Detour,Pre-control input normalization and filtering,Medium,4,Log keyboard/mouse/joystick transition counts each frame,Runs before higher-level control dispatch
Input,Input Bootstrap,InputGlobals::InitializeInputSystem,0x404150,588,Function Detour,Inject startup defaults and input feature toggles,Medium,5,Log detected input devices and initialization status,Anchor early plugin init checks
Input,Control Mapping,InputGlobals::LoadControlSettingsFromINI,0x404540,340,Function Detour,Custom control-map loading or modded binds,Low,6,Log loaded control map values and unknown keys,Useful for compatibility with custom control INIs
Input,Player Control Dispatch,Player_OnInput,0x671620,9043,Function Detour,"Context-aware hotkeys, tap/hold actions, and custom interaction modes",High,7,Whitelist one hotkey and emit debug event only,Central player behavior junction
Scripting,VM Arg Decode,Script_ExtractArgs,0x4FAE80,1249,Function Detour,Extend parameter coercion and add robust command diagnostics,Medium,8,"For one command opcode, log parsed param types/counts",High caller count makes it high leverage
Scripting,VM Instruction Execute,ExecuteScriptInstruction?,0x4FAB20,794,Function Detour,Opcode-level tracing and safety checks,Medium,9,Log opcode byte + script refID for whitelist only,Core script execution behavior
Scripting,Command Lookup,ScriptRunner_LookupCommandByName?,0x4FCA70,274,Function Detour,Alias/redirect commands for compatibility layers,Low,10,Log command name misses and resolved command IDs,Useful for diagnosing script migration issues
Scripting,Run Script Entry,ScriptRunner_RunScript,0x4402F0,272,Function Detour,Measure script runtime and per-frame script volume,Medium,11,Timestamp start/end of script execution for player scripts,Feeds profiling data to debug overlay
Scripting,Event Dispatch,Script_RunEvent??,0x517810,310,Function Detour,Hook event-driven script execution pathways,Medium,12,Log event opcode and target refID,Good bridge between events and VM execution
Combat/AI,Action Resolver,Actor_ProcessAction,0x5FCAB0,6194,Function Detour,Inject custom attack gates and action transition logic,High,13,Log current action enum transitions for player only,High traffic actor behavior routine
Combat/Magic,On Hit Processing,Actor_MagicHit,0x5FE380,2146,Function Detour,Custom proc systems and hit filtering,Medium,14,Emit attacker/target/effect event without mutation,Safe start for combat telemetry
Magic,Projectile Spawn,MagicCaster_CreateMagicProj??,0x69A060,1064,Function Detour,Override projectile archetype or VFX policy,Medium,15,Log chosen projectile type and source effect,Pairs with TargetEffectHit for end-to-end trace
Magic,Target Resolution,MagicCaster_GetTargetsInArea?,0x69AC50,727,Function Detour,Tune AoE target acquisition rules,Medium,16,Log candidate count and final selected targets,Helps diagnose target selection edge-cases
Magic,Effect Application,MagicCaster_TargetEffectHit??,0x69BA90,876,Function Detour,Alter per-target effect application decisions,Medium,17,Log effect code + resist outcome + final magnitude,Completes magic pipeline observability
Inventory/Equipment,Equip Path,ContainerExtraData_EquipItemForActor,0x489C30,2267,Function Detour,Custom equip validation and side effects,High,18,"Log actor, item, slot, and return status",Covers most equip transitions
Inventory/Equipment,Equip Path,Actor_EquipItem,0x5FAEA0,1334,Function Detour,Player/NPC equip policy injection,Medium,19,Log equip attempts blocked by custom rules (no block yet),Pair with ContainerExtraData equip hook
Inventory/Equipment,Unequip Path,Actor_UnequipItem,0x5F2E70,672,Function Detour,Custom lock-slot and cursed-item behaviors,Medium,20,Log unequip reason and source caller,Add rule checks only after stable logs
Inventory/Equipment,Weapon State,EquipWeapon,0x4E1900,563,Function Detour,Weapon-ready transitions and anim-safe checks,Medium,21,Log weapon formID and animation group,Low-risk way to inspect weapon flow
Inventory/Equipment,Weapon State,UnequipWeapon,0x4DC5B0,827,Function Detour,Force/deny holster behavior based on context,Medium,22,Log unequip trigger context only,Complements EquipWeapon
Stealth/Crime,Detection,Actor_GetDetectionLevel,0x5F6540,2943,Function Detour,Custom stealth formulas and environmental modifiers,High,23,Log vanilla detection score components,Validate before changing stealth math
Stealth/Crime,Crime Handling,LowProcess_HandleCrime???,0x6439E0,1092,Function Detour,Add alternate bounty/witness rules,High,24,"Log crime type, witness count, and resulting bounty",Start read-only to avoid quest breakage
Stealth/Crime,Crime Handling,MiddleProcess_HandleCrime2???,0x653520,1030,Function Detour,Mid-process crime consequences and escalation hooks,High,25,Log escalation path and guard response state,Chain with LowProcess crime hook for full picture
